,,,,Monthly,,,,,,,,Annual,,,,,,,,Rankings,,,,
3354,NC,"Harnett County, NC HUD Metro FMR Area",2p4c,1463,1462,1727,1828,908,1339,1681,10409,17556,17544,20723,21941,10898,16065,20175,124902,82501,0,,,
3355,NC,"Hoke County, NC HUD Metro FMR Area",1p0c,747,324,1137,475,333,0,723,3738,8964,3889,13639,5698,3990,0,8673,44853,73034,0,,,
3355,NC,"Hoke County, NC HUD Metro FMR Area",1p1c,986,475,1358,745,454,634,824,5476,11832,5702,16301,8937,5444,7604,9892,65711,73034,0,,,
3355,NC,"Hoke County, NC HUD Metro FMR Area",1p2c,986,701,1485,1015,524,1123,1000,6832,11832,8409,17822,12176,6284,13470,11996,81988,73034,0,,,
3355,NC,"Hoke County, NC HUD Metro FMR Area",1p3c,1382,934,1577,1285,719,1273,1445,8614,16584,11205,18926,15414,8628,15275,17339,103370,73034,0,,,
3355,NC,"Hoke County, NC HUD Metro FMR Area",1p4c,1382,1143,1715,1354,784,1273,1723,9374,16584,13718,20582,16243,9408,15275,20673,112483,73034,0,,,
3355,NC,"Hoke County, NC HUD Metro FMR Area",2p0c,752,594,1304,950,418,0,775,4792,9024,7129,15644,11396,5015,0,9300,57508,73034,0,,,
3355,NC,"Hoke County, NC HUD Metro FMR Area",2p1c,986,737,1423,1220,535,634,975,6509,11832,8845,17074,14634,6420,7604,11696,78105,73034,0,,,
3355,NC,"Hoke County, NC HUD Metro FMR Area",2p2c,986,937,1509,1489,597,1123,1042,7684,11832,11249,18106,17873,7166,13470,12507,92203,73034,0,,,
3355,NC,"Hoke County, NC HUD Metro FMR Area",2p3c,1382,1144,1642,1759,784,1273,1323,9307,16584,13723,19707,21112,9409,15275,15876,111686,73034,0,,,
3355,NC,"Hoke County, NC HUD Metro FMR Area",2p4c,1382,1400,1696,1828,864,1273,1540,9983,16584,16797,20350,21941,10364,15275,18485,119795,73034,0,,,
3356,AR,"Fayetteville-Springdale-Rogers, AR MSA",1p0c,853,342,1085,481,371,0,748,3880,10236,4108,13019,5770,4453,0,8971,46557,93383.05371,0,,,
3356,AR,"Fayetteville-Springdale-Rogers, AR MSA",1p1c,1111,502,1328,754,501,672,923,5791,13332,6024,15939,9052,6010,8063,11074,69493,93383.05371,0,,,
3356,AR,"Fayetteville-Springdale-Rogers, AR MSA",1p2c,1111,740,1522,1028,575,1223,1208,7406,13332,8883,18267,12334,6897,14671,14492,88877,93383.05371,0,,,
3356,AR,"Fayetteville-Springdale-Rogers, AR MSA",1p3c,1557,986,1614,1301,790,1392,1830,9471,18684,11837,19372,15616,9476,16705,21961,113651,93383.05371,0,,,
3356,AR,"Fayetteville-Springdale-Rogers, AR MSA",1p4c,1557,1208,1680,1371,858,1392,2064,10130,18684,14493,20157,16450,10301,16705,24767,121556,93383.05371,0,,,
3356,AR,"Fayetteville-Springdale-Rogers, AR MSA",2p0c,925,628,1280,962,482,0,831,5107,11100,7532,15359,11540,5785,0,9974,61288,93383.05371,0,,,
3356,AR,"Fayetteville-Springdale-Rogers, AR MSA",2p1c,1111,779,1468,1235,587,672,1048,6899,13332,9345,17615,14822,7041,8063,12573,82791,93383.05371,0,,,
3356,AR,"Fayetteville-Springdale-Rogers, AR MSA",2p2c,1111,990,1555,1509,652,1223,1137,8177,13332,11884,18665,18104,7829,14671,13638,98123,93383.05371,0,,,
3356,AR,"Fayetteville-Springdale-Rogers, AR MSA",2p3c,1557,1208,1617,1782,859,1392,1491,9906,18684,14498,19409,21386,10302,16705,17894,118877,93383.05371,0,,,
3356,AR,"Fayetteville-Springdale-Rogers, AR MSA",2p4c,1557,1479,1667,1852,943,1392,1724,10613,18684,17745,20001,22220,11310,16705,20689,127354,93383.05371,0,,,
3357,AZ,"Flagstaff, AZ MSA",1p0c,1564,369,1155,541,600,0,1075,5304,18768,4431,13855,6489,7203,0,12903,63648,88944,0,,,
3357,AZ,"Flagstaff, AZ MSA",1p1c,1942,541,1473,860,771,887,1399,7873,23304,6497,17675,10319,9253,10646,16782,94476,88944,0,,,
3357,AZ,"Flagstaff, AZ MSA",1p2c,1942,798,1616,1179,851,1724,1897,10007,23304,9581,19396,14149,10210,20683,22759,120083,88944,0,,,
3357,AZ,"Flagstaff, AZ MSA",1p3c,2379,1064,1715,1498,1069,1981,2476,12182,28548,12767,20575,17978,12827,23772,29713,146181,88944,0,,,
3357,AZ,"Flagstaff, AZ MSA",1p4c,2379,1303,1784,1581,1143,1981,2698,12869,28548,15631,21413,18967,13716,23772,32380,154427,88944,0,,,
3357,AZ,"Flagstaff, AZ MSA",2p0c,1714,677,1405,1082,742,0,1127,6746,20568,8123,16855,12978,8908,0,13518,80950,88944,0,,,
3357,AZ,"Flagstaff, AZ MSA",2p1c,1942,840,1540,1401,864,887,1383,8856,23304,10079,18474,16808,10365,10646,16591,106267,88944,0,,,
3357,AZ,"Flagstaff, AZ MSA",2p2c,1942,1068,1631,1720,935,1724,1737,10757,23304,12817,19577,20638,11215,20683,20844,129078,88944,0,,,
3357,AZ,"Flagstaff, AZ MSA",2p3c,2379,1303,1696,2039,1143,1981,2224,12766,28548,15637,20357,24467,13718,23772,26688,153187,88944,0,,,
3357,AZ,"Flagstaff, AZ MSA",2p4c,2379,1595,1818,2121,1234,1981,2523,13651,28548,19139,21816,25455,14806,23772,30281,163817,88944,0,,,
3358,MI,"Flint, MI MSA",1p0c,691,331,999,364,317,0,574,3276,8292,3969,11982,4373,3807,0,6891,39314,77948,0,,,
3358,MI,"Flint, MI MSA",1p1c,986,485,1223,568,457,789,744,5252,11832,5821,14681,6815,5481,9469,8932,63029,77948,0,,,
3358,MI,"Flint, MI MSA",1p2c,986,715,1350,771,528,1467,938,6755,11832,8583,16198,9257,6338,17598,11258,81064,77948,0,,,
3358,MI,"Flint, MI MSA",1p3c,1215,953,1503,975,673,1675,1226,8220,14580,11437,18038,11699,8078,20099,14714,98645,77948,0,,,
3358,MI,"Flint, MI MSA",1p4c,1215,1167,1571,1034,740,1675,1410,8812,14580,14003,18853,12407,8874,20099,16924,105741,77948,0,,,
3358,MI,"Flint, MI MSA",2p0c,806,606,1177,729,439,0,683,4440,9672,7277,14125,8746,5262,0,8200,53282,77948,0,,,
3358,MI,"Flint, MI MSA",2p1c,986,752,1297,932,540,789,880,6176,11832,9029,15559,11188,6477,9469,10556,74110,77948,0,,,
3358,MI,"Flint, MI MSA",2p2c,986,957,1445,1136,603,1467,980,7573,11832,11482,17336,13630,7238,17598,11762,90879,77948,0,,,
3358,MI,"Flint, MI MSA",2p3c,1215,1167,1509,1339,740,1675,1084,8728,14580,14008,18102,16072,8876,20099,13002,104739,77948,0,,,
3358,MI,"Flint, MI MSA",2p4c,1215,1429,1560,1398,821,1675,1246,9344,14580,17145,18724,16780,9850,20099,14955,112133,77948,0,,,
3359,SC,"Florence, SC HUD Metro FMR Area",1p0c,857,321,1076,429,366,0,719,3767,10284,3854,12906,5146,4389,0,8626,45206,76991,0,,,
3359,SC,"Florence, SC HUD Metro FMR Area",1p1c,1065,471,1295,671,477,918,825,5722,12780,5651,15537,8055,5722,11018,9905,68669,76991,0,,,
3359,SC,"Florence, SC HUD Metro FMR Area",1p2c,1065,695,1416,914,546,1616,1086,7337,12780,8334,16997,10964,6555,19392,13026,88048,76991,0,,,
3359,SC,"Florence, SC HUD Metro FMR Area",1p3c,1359,925,1569,1156,709,1831,1533,9082,16308,11105,18824,13873,8511,21969,18390,108979,76991,0,,,
3359,SC,"Florence, SC HUD Metro FMR Area",1p4c,1359,1133,1634,1222,774,1831,1740,9692,16308,13596,19604,14661,9284,21969,20885,116307,76991,0,,,
3359,SC,"Florence, SC HUD Metro FMR Area",2p0c,862,589,1242,858,450,0,715,4717,10344,7066,14908,10293,5405,0,8582,56598,76991,0,,,
3359,SC,"Florence, SC HUD Metro FMR Area",2p1c,1065,731,1358,1100,558,918,932,6661,12780,8767,16296,13202,6690,11018,11182,79934,76991,0,,,
3359,SC,"Florence, SC HUD Metro FMR Area",2p2c,1065,929,1506,1343,619,1616,1053,8131,12780,11149,18067,16110,7429,19392,12639,97566,76991,0,,,
3359,SC,"Florence, SC HUD Metro FMR Area",2p3c,1359,1133,1567,1585,774,1831,1295,9544,16308,13601,18804,19019,9286,21969,15539,114525,76991,0,,,
3359,SC,"Florence, SC HUD Metro FMR Area",2p4c,1359,1387,1617,1651,853,1831,1479,10176,16308,16647,19404,19807,10232,21969,17744,122111,76991,0,,,
3360,SC,"Darlington County, SC HUD Metro FMR Area",1p0c,819,313,1087,476,351,0,718,3763,9828,3750,13038,5711,4216,0,8613,45156,62738,0,,,
3360,SC,"Darlington County, SC HUD Metro FMR Area",1p1c,1055,458,1302,747,470,614,734,5379,12660,5499,15628,8958,5638,7363,8803,64549,62738,0,,,
3360,SC,"Darlington County, SC HUD Metro FMR Area",1p2c,1055,676,1427,1017,537,1261,942,6915,12660,8109,17125,12205,6448,15131,11298,82977,62738,0,,,
3360,SC,"Darlington County, SC HUD Metro FMR Area",1p3c,1271,901,1518,1288,674,1460,1267,8379,15252,10806,18220,15452,8090,17521,15206,100547,62738,0,,,
3360,SC,"Darlington County, SC HUD Metro FMR Area",1p4c,1271,1103,1585,1357,737,1460,1464,8977,15252,13230,19023,16281,8843,17521,17568,107718,62738,0,,,
3360,SC,"Darlington County, SC HUD Metro FMR Area",2p0c,824,573,1247,952,434,0,725,4755,9888,6875,14968,11422,5205,0,8703,57061,62738,0,,,
3360,SC,"Darlington County, SC HUD Metro FMR Area",2p1c,1055,711,1365,1222,548,614,855,6371,12660,8530,16385,14669,6579,7363,10262,76449,62738,0,,,
3360,SC,"Darlington County, SC HUD Metro FMR Area",2p2c,1055,904,1451,1493,608,1261,943,7716,12660,10848,17417,17916,7299,15131,11317,92588,62738,0,,,
3360,SC,"Darlington County, SC HUD Metro FMR Area",2p3c,1271,1103,1514,1764,737,1460,1103,8952,15252,13234,18171,21163,8844,17521,13238,107424,62738,0,,,
3360,SC,"Darlington County, SC HUD Metro FMR Area",2p4c,1271,1350,1636,1833,814,1460,1310,9673,15252,16199,19633,21992,9765,17521,15720,116081,62738,0,,,
3361,AL,"Florence-Muscle Shoals, AL MSA",1p0c,674,345,1070,475,316,0,683,3563,8088,4141,12837,5699,3797,0,8198,42760,75938.35046,0,,,
3361,AL,"Florence-Muscle Shoals, AL MSA",1p1c,974,506,1317,706,460,644,837,5444,11688,6073,15799,8472,5514,7729,10049,65324,75938.35046,0,,,
3361,AL,"Florence-Muscle Shoals, AL MSA",1p2c,974,746,1453,937,534,1216,1030,6891,11688,8955,17436,11245,6409,14596,12365,82695,75938.35046,0,,,
3361,AL,"Florence-Muscle Shoals, AL MSA",1p3c,1196,994,1617,1168,680,1393,1356,8404,14352,11933,19407,14017,8161,16710,16269,100849,75938.35046,0,,,
3361,AL,"Florence-Muscle Shoals, AL MSA",1p4c,1196,1218,1689,1209,749,1393,1561,9015,14352,14610,20271,14508,8992,16710,18733,108176,75938.35046,0,,,
3361,AL,"Florence-Muscle Shoals, AL MSA",2p0c,743,633,1267,950,427,0,826,4845,8916,7593,15200,11398,5125,0,9909,58141,75938.35046,0,,,
3361,AL,"Florence-Muscle Shoals, AL MSA",2p1c,974,785,1395,1181,546,644,1019,6544,11688,9421,16741,14171,6554,7729,12222,78526,75938.35046,0,,,
3361,AL,"Florence-Muscle Shoals, AL MSA",2p2c,974,998,1553,1412,612,1216,1129,7895,11688,11980,18639,16944,7348,14596,13545,94741,75938.35046,0,,,
3361,AL,"Florence-Muscle Shoals, AL MSA",2p3c,1196,1218,1621,1643,749,1393,1283,9103,14352,14615,19446,19716,8993,16710,15397,109230,75938.35046,0,,,
3361,AL,"Florence-Muscle Shoals, AL MSA",2p4c,1196,1491,1675,1684,834,1393,1474,9746,14352,17889,20100,20207,10010,16710,17686,116954,75938.35046,0,,,
3362,WI,"Fond du Lac, WI MSA",1p0c,736,357,1102,446,339,0,688,3668,8832,4281,13223,5353,4071,0,8253,44013,97932,0,,,
3362,WI,"Fond du Lac, WI MSA",1p1c,1074,523,1413,699,496,1065,1070,6339,12888,6277,16952,8382,5950,12775,12843,76067,97932,0,,,
3362,WI,"Fond du Lac, WI MSA",1p2c,1074,771,1550,951,573,2002,1584,8505,12888,9257,18600,11411,6875,24029,19003,102063,97932,0,,,
3362,WI,"Fond du Lac, WI MSA",1p3c,1395,1028,1643,1203,752,2291,2119,10432,16740,12335,19720,14439,9027,27492,25425,125179,97932,0,,,
3362,WI,"Fond du Lac, WI MSA",1p4c,1395,1259,1709,1268,824,2291,2372,11118,16740,15102,20512,15219,9886,27492,28461,133413,97932,0,,,
3362,WI,"Fond du Lac, WI MSA",2p0c,865,654,1359,892,472,0,780,5022,10380,7848,16307,10706,5659,0,9364,60265,97932,0,,,
3362,WI,"Fond du Lac, WI MSA",2p1c,1074,812,1490,1145,585,1065,1133,7302,12888,9738,17874,13735,7025,12775,13594,87629,97932,0,,,
3362,WI,"Fond du Lac, WI MSA",2p2c,1074,1032,1578,1397,654,2002,1397,9134,12888,12384,18934,16764,7846,24029,16765,109610,97932,0,,,
3362,WI,"Fond du Lac, WI MSA",2p3c,1395,1259,1640,1649,824,2291,1811,10869,16740,15107,19681,19792,9888,27492,21732,130432,97932,0,,,
3362,WI,"Fond du Lac, WI MSA",2p4c,1395,1541,1689,1714,912,2291,2076,11618,16740,18491,20272,20572,10938,27492,24913,139419,97932,0,,,
3363,CO,"Fort Collins, CO MSA",1p0c,1434,389,1093,454,566,0,1026,4961,17208,4662,13119,5445,6790,0,12306,59530,118466,0,,,
3363,CO,"Fort Collins, CO MSA",1p1c,1695,570,1366,721,703,1473,1605,8133,20340,6836,16388,8650,8437,17678,19263,97593,118466,0,,,
3363,CO,"Fort Collins, CO MSA",1p2c,1695,840,1505,988,787,2376,2168,10359,20340,10080,18057,11856,9445,28515,26012,124305,118466,0,,,
3363,CO,"Fort Collins, CO MSA",1p3c,2375,1119,1597,1255,1085,2654,2954,13040,28500,13432,19166,15061,13019,31850,35449,156476,118466,0,,,
3363,CO,"Fort Collins, CO MSA",1p4c,2375,1371,1729,1331,1163,2654,3143,13765,28500,16446,20752,15972,13954,31850,37710,165183,118466,0,,,
3363,CO,"Fort Collins, CO MSA",2p0c,1442,712,1317,908,669,0,1046,6094,17304,8546,15808,10891,8026,0,12551,73125,118466,0,,,
3363,CO,"Fort Collins, CO MSA",2p1c,1695,884,1450,1175,801,1473,1538,9015,20340,10604,17402,14096,9607,17678,18454,108182,118466,0,,,
3363,CO,"Fort Collins, CO MSA",2p2c,1695,1124,1538,1442,875,2376,1976,11026,20340,13485,18458,17301,10502,28515,23709,132310,118466,0,,,
3363,CO,"Fort Collins, CO MSA",2p3c,2375,1371,1667,1709,1163,2654,2704,13642,28500,16451,20001,20506,13956,31850,32445,163709,118466,0,,,
3363,CO,"Fort Collins, CO MSA",2p4c,2375,1678,1717,1785,1258,2654,2961,14428,28500,20136,20600,21417,15100,31850,35527,173131,118466,0,,,
3364,AR,"Franklin County, AR HUD Metro FMR Area",1p0c,642,309,1159,481,295,0,666,3552,7704,3704,13908,5770,3542,0,7991,42618,63397,0,,,
3364,AR,"Franklin County, AR HUD Metro FMR Area",1p1c,848,453,1392,754,404,488,740,5078,10176,5431,16706,9052,4846,5850,8880,60940,63397,0,,,
3364,AR,"Franklin County, AR HUD Metro FMR Area",1p2c,848,667,1529,1028,471,922,850,6314,10176,8009,18342,12334,5646,11067,10196,75770,63397,0,,,
3364,AR,"Franklin County, AR HUD Metro FMR Area",1p3c,1060,889,1629,1301,605,1056,1152,7692,12720,10673,19545,15616,7263,12672,13821,92309,63397,0,,,
3364,AR,"Franklin County, AR HUD Metro FMR Area",1p4c,1060,1089,1703,1371,667,1056,1408,8353,12720,13067,20431,16450,8006,12672,16895,100241,63397,0,,,
3364,AR,"Franklin County, AR HUD Metro FMR Area",2p0c,646,566,1333,962,376,0,704,4586,7752,6791,15996,11540,4515,0,8443,55036,63397,0,,,
3364,AR,"Franklin County, AR HUD Metro FMR Area",2p1c,848,702,1461,1235,481,488,839,6054,10176,8425,17533,14822,5775,5850,10064,72644,63397,0,,,
3364,AR,"Franklin County, AR HUD Metro FMR Area",2p2c,848,893,1555,1509,541,922,876,7143,10176,10715,18658,18104,6486,11067,10506,85711,63397,0,,,
3364,AR,"Franklin County, AR HUD Metro FMR Area",2p3c,1060,1089,1624,1782,667,1056,987,8265,12720,13071,19482,21386,8007,12672,11842,99180,63397,0,,,
3364,AR,"Franklin County, AR HUD Metro FMR Area",2p4c,1060,1333,1755,1852,743,1056,1197,8996,12720,15999,21061,22220,8917,12672,14367,107955,63397,0,,,
3365,AR,"Fort Smith, AR-OK HUD Metro FMR Area",1p0c,689,319,1080,489,313,0,667,3557,8268,3829,12954,5872,3756,0,8007,42686,70358.71246,0,,,
3365,AR,"Fort Smith, AR-OK HUD Metro FMR Area",1p1c,910,468,1291,768,428,577,775,5216,10920,5615,15486,9215,5134,6920,9304,62593,70358.71246,0,,,
3365,AR,"Fort Smith, AR-OK HUD Metro FMR Area",1p2c,910,690,1413,1047,497,1031,906,6493,10920,8280,16954,12558,5961,12369,10876,77919,70358.71246,0,,,
3365,AR,"Fort Smith, AR-OK HUD Metro FMR Area",1p3c,1236,919,1502,1325,669,1171,1341,8163,14832,11033,18026,15902,8030,14046,16091,97960,70358.71246,0,,,
3365,AR,"Fort Smith, AR-OK HUD Metro FMR Area",1p4c,1236,1126,1568,1395,733,1171,1573,8801,14832,13508,18813,16743,8799,14046,18871,105611,70358.71246,0,,,
3365,AR,"Fort Smith, AR-OK HUD Metro FMR Area",2p0c,694,585,1240,979,397,0,707,4602,8328,7020,14877,11744,4765,0,8487,55221,70358.71246,0,,,
3365,AR,"Fort Smith, AR-OK HUD Metro FMR Area",2p1c,910,726,1356,1257,508,577,878,6211,10920,8710,16266,15087,6095,6920,10530,74528,70358.71246,0,,,
3365,AR,"Fort Smith, AR-OK HUD Metro FMR Area",2p2c,910,923,1440,1536,569,1031,923,7332,10920,11076,17278,18430,6829,12369,11077,87979,70358.71246,0,,,
3365,AR,"Fort Smith, AR-OK HUD Metro FMR Area",2p3c,1236,1126,1501,1815,733,1171,1105,8686,14832,13512,18016,21774,8800,14046,13254,104234,70358.71246,0,,,
3365,AR,"Fort Smith, AR-OK HUD Metro FMR Area",2p4c,1236,1378,1623,1885,812,1171,1338,9442,14832,16539,19471,22615,9740,14046,16055,113298,70358.71246,0,,,
3366,OK,"Fort Smith, AR-OK HUD Metro FMR Area",1p0c,689,319,1080,489,313,0,670,3560,8268,3829,12954,5872,3756,0,8042,42721,70358.71246,,,,
3366,OK,"Fort Smith, AR-OK HUD Metro FMR Area",1p1c,910,468,1291,768,428,577,720,5161,10920,5615,15486,9215,5134,6920,8638,61928,70358.71246,,,,
3366,OK,"Fort Smith, AR-OK HUD Metro FMR Area",1p2c,910,690,1413,1047,497,1031,833,6419,10920,8280,16954,12558,5961,12369,9991,77033,70358.71246,,,,
3366,OK,"Fort Smith, AR-OK HUD Metro FMR Area",1p3c,1236,919,1502,1325,669,1171,1164,7986,14832,11033,18026,15902,8030,14046,13963,95831,70358.71246,,,,
3366,OK,"Fort Smith, AR-OK HUD Metro FMR Area",1p4c,1236,1126,1568,1395,733,1171,1375,8603,14832,13508,18813,16743,8799,14046,16496,103237,70358.71246,,,,
3366,OK,"Fort Smith, AR-OK HUD Metro FMR Area",2p0c,694,585,1240,979,397,0,724,4619,8328,7020,14877,11744,4765,0,8691,55424,70358.71246,,,,
3366,OK,"Fort Smith, AR-OK HUD Metro FMR Area",2p1c,910,726,1356,1257,508,577,883,6217,10920,8710,16266,15087,6095,6920,10600,74598,70358.71246,,,,
3366,OK,"Fort Smith, AR-OK HUD Metro FMR Area",2p2c,910,923,1440,1536,569,1031,924,7333,10920,11076,17278,18430,6829,12369,11092,87994,70358.71246,,,,
3366,OK,"Fort Smith, AR-OK HUD Metro FMR Area",2p3c,1236,1126,1501,1815,733,1171,1105,8687,14832,13512,18016,21774,8800,14046,13262,104242,70358.71246,,,,
3366,OK,"Fort Smith, AR-OK HUD Metro FMR Area",2p4c,1236,1378,1623,1885,812,1171,1330,9433,14832,16539,19471,22615,9740,14046,15954,113197,70358.71246,,,,
3367,IN,"Fort Wayne, IN MSA",1p0c,943,327,1048,459,394,0,723,3894,11316,3923,12575,5504,4731,0,8677,46727,86105.61052,0,,,
3367,IN,"Fort Wayne, IN MSA",1p1c,1199,479,1272,719,521,944,913,6046,14388,5753,15258,8624,6253,11325,10955,72556,86105.61052,0,,,
3367,IN,"Fort Wayne, IN MSA",1p2c,1199,707,1453,979,592,1677,1239,7846,14388,8484,17441,11743,7101,20128,14873,94157,86105.61052,0,,,
3367,IN,"Fort Wayne, IN MSA",1p3c,1512,942,1540,1239,762,1903,1632,9530,18144,11305,18484,14862,9143,22837,19584,114359,86105.61052,0,,,
3367,IN,"Fort Wayne, IN MSA",1p4c,1512,1153,1602,1304,828,1903,1838,10141,18144,13841,19229,15653,9930,22837,22054,121688,86105.61052,0,,,
3367,IN,"Fort Wayne, IN MSA",2p0c,991,599,1224,917,494,0,828,5053,11892,7193,14682,11009,5925,0,9937,60639,86105.61052,0,,,
3367,IN,"Fort Wayne, IN MSA",2p1c,1199,744,1400,1177,603,944,1081,7147,14388,8925,16794,14128,7238,11325,12971,85769,86105.61052,0,,,
3367,IN,"Fort Wayne, IN MSA",2p2c,1199,946,1482,1437,666,1677,1185,8592,14388,11349,17784,17248,7991,20128,14217,103105,86105.61052,0,,,
3367,IN,"Fort Wayne, IN MSA",2p3c,1512,1154,1541,1697,828,1903,1448,10083,18144,13846,18487,20367,9932,22837,17378,120990,86105.61052,0,,,
3367,IN,"Fort Wayne, IN MSA",2p4c,1512,1412,1588,1763,908,1903,1635,10721,18144,16947,19051,21158,10895,22837,19617,128648,86105.61052,0,,,
3368,CA,"Fresno, CA MSA",1p0c,1210,338,1078,466,481,0,817,4388,14520,4050,12937,5586,5766,0,9800,52659,81068,1,66,11,95
3368,CA,"Fresno, CA MSA",1p1c,1505,495,1305,740,621,1029,966,6660,18060,5939,15663,8876,7451,12347,11589,79925,81068,1,66,11,95
3368,CA,"Fresno, CA MSA",1p2c,1505,730,1431,1014,694,1581,1241,8196,18060,8758,17172,12166,8326,18976,14895,98353,81068,1,66,11,95
3368,CA,"Fresno, CA MSA",1p3c,2109,973,1583,1288,957,1751,2121,10782,25308,11670,18997,15455,11481,21016,25453,129379,81068,1,66,11,95
3368,CA,"Fresno, CA MSA",1p4c,2109,1191,1649,1365,1024,1751,2326,11415,25308,14288,19793,16377,12293,21016,27911,136985,81068,1,66,11,95
3368,CA,"Fresno, CA MSA",2p0c,1217,619,1242,931,570,0,787,5366,14604,7425,14904,11173,6839,0,9448,64393,81068,1,66,11,95
3368,CA,"Fresno, CA MSA",2p1c,1505,768,1361,1205,706,1029,1065,7638,18060,9213,16326,14462,8467,12347,12777,91652,81068,1,66,11,95
3368,CA,"Fresno, CA MSA",2p2c,1505,976,1507,1479,770,1581,1184,9004,18060,11716,18084,17752,9245,18976,14211,108044,81068,1,66,11,95
3368,CA,"Fresno, CA MSA",2p3c,2109,1191,1569,1754,1025,1751,1725,11123,25308,14293,18829,21042,12295,21016,20699,133481,81068,1,66,11,95
3368,CA,"Fresno, CA MSA",2p4c,2109,1458,1619,1830,1107,1751,1957,11833,25308,17494,19432,21963,13289,21016,23488,141990,81068,1,66,11,95
3369,AL,"Gadsden, AL MSA",1p0c,646,350,1087,457,309,0,674,3523,7752,4200,13044,5485,3711,0,8083,42274,67790,0,,,
3369,AL,"Gadsden, AL MSA",1p1c,942,513,1309,679,452,525,780,5199,11304,6159,15702,8151,5422,6298,9354,62389,67790,0,,,
3369,AL,"Gadsden, AL MSA",1p2c,942,757,1434,901,527,1058,926,6546,11304,9082,17206,10817,6329,12697,11117,78552,67790,0,,,
3369,AL,"Gadsden, AL MSA",1p3c,1139,1009,1524,1124,667,1222,1173,7857,13668,12102,18290,13484,8001,14666,14079,94289,67790,0,,,
3369,AL,"Gadsden, AL MSA",1p4c,1139,1235,1660,1165,737,1222,1408,8565,13668,14817,19914,13975,8844,14666,16897,102780,67790,0,,,
3369,AL,"Gadsden, AL MSA",2p0c,810,642,1258,914,451,0,843,4918,9720,7700,15096,10970,5408,0,10115,59010,67790,0,,,
3369,AL,"Gadsden, AL MSA",2p1c,942,796,1377,1136,540,525,953,6269,11304,9554,16519,13636,6476,6298,11441,75227,67790,0,,,
3369,AL,"Gadsden, AL MSA",2p2c,942,1013,1462,1359,607,1058,1027,7467,11304,12150,17541,16302,7282,12697,12328,89603,67790,0,,,
3369,AL,"Gadsden, AL MSA",2p3c,1139,1235,1593,1581,737,1222,1155,8662,13668,14822,19116,18969,8845,14666,13859,103945,67790,0,,,
3369,AL,"Gadsden, AL MSA",2p4c,1139,1512,1646,1622,823,1222,1341,9304,13668,18142,19746,19460,9876,14666,16096,111653,67790,0,,,
3370,FL,"Levy County, FL HUD Metro FMR Area",1p0c,727,340,1101,534,331,0,546,3580,8724,4085,13207,6409,3977,0,6556,42958,62308,0,,,
3370,FL,"Levy County, FL HUD Metro FMR Area",1p1c,989,499,1332,839,462,608,591,5321,11868,5990,15980,10073,5544,7300,7097,63853,62308,0,,,
3370,FL,"Levy County, FL HUD Metro FMR Area",1p2c,989,736,1469,1145,536,1065,668,6608,11868,8833,17633,13738,6427,12775,8018,79292,62308,0,,,
3370,FL,"Levy County, FL HUD Metro FMR Area",1p3c,1281,981,1571,1450,702,1205,918,8108,15372,11770,18853,17403,8427,14460,11015,97299,62308,0,,,
3370,FL,"Levy County, FL HUD Metro FMR Area",1p4c,1281,1201,1646,1524,771,1205,1109,8736,15372,14410,19756,18284,9247,14460,13302,104830,62308,0,,,
3370,FL,"Levy County, FL HUD Metro FMR Area",2p0c,855,624,1272,1068,459,0,655,4933,10260,7489,15264,12818,5510,0,7856,59197,62308,0,,,
3370,FL,"Levy County, FL HUD Metro FMR Area",2p1c,989,774,1401,1374,547,608,728,6421,11868,9292,16807,16482,6569,7300,8734,77053,62308,0,,,
3370,FL,"Levy County, FL HUD Metro FMR Area",2p2c,989,985,1495,1679,613,1065,732,7557,11868,11816,17942,20147,7353,12775,8788,90689,62308,0,,,
3370,FL,"Levy County, FL HUD Metro FMR Area",2p3c,1281,1201,1565,1984,771,1205,847,8854,15372,14415,18779,23811,9248,14460,10168,106253,62308,0,,,
3370,FL,"Levy County, FL HUD Metro FMR Area",2p4c,1281,1470,1693,2058,854,1205,1026,9588,15372,17644,20321,24692,10251,14460,12313,115052,62308,0,,,
3371,FL,"Gainesville, FL HUD Metro FMR Area",1p0c,1176,384,1008,524,484,0,679,4255,14112,4605,12100,6283,5811,0,8150,51061,93242.5499,0,,,
3371,FL,"Gainesville, FL HUD Metro FMR Area",1p1c,1583,563,1229,823,666,799,869,6531,18996,6753,14746,9872,7994,9584,10427,78372,93242.5499,0,,,
3371,FL,"Gainesville, FL HUD Metro FMR Area",1p2c,1583,830,1407,1122,749,1466,1144,8302,18996,9958,16887,13461,8989,17597,13733,99622,93242.5499,0,,,
3371,FL,"Gainesville, FL HUD Metro FMR Area",1p3c,2016,1106,1493,1421,969,1672,1582,10259,24192,13269,17916,17051,11631,20063,18987,123108,93242.5499,0,,,
3371,FL,"Gainesville, FL HUD Metro FMR Area",1p4c,2016,1354,1554,1494,1046,1672,1793,10929,24192,16246,18650,17922,12555,20063,21520,131147,93242.5499,0,,,
3371,FL,"Gainesville, FL HUD Metro FMR Area",2p0c,1308,704,1183,1047,625,0,799,5665,15696,8442,14194,12566,7494,0,9583,67976,93242.5499,0,,,
